Designator,Mid X,Mid Y,Rotation,Layer
J1_2,-249.661138,-84.875202,0.0,top
J1,-176.98815,4.8158,180.0,top
LED1_2,-177.34215,-40.4112,180.0,bottom
LED1,-249.307139,-39.648201,0.0,bottom
LED10_2,-195.39215,-6.3112,0.0,bottom
LED10,-231.257139,-73.748199,180.0,bottom
LED2_2,-195.39215,-40.4112,180.0,bottom
LED2,-231.25714,-39.6482,0.0,bottom
LED3_2,-195.39215,-23.3612,180.0,bottom
LED3,-231.257139,-56.698201,0.0,bottom
LED4_2,-213.44215,-23.3612,180.0,bottom
LED4,-213.20714,-56.698198,0.0,bottom
LED5_2,-231.49215,-23.3612,180.0,bottom
LED5,-195.15714,-56.6982,0.0,bottom
LED6_2,-249.54215,-23.3612,180.0,bottom
LED6,-177.10714,-56.698201,0.0,bottom
LED7_2,-249.54215,-6.3112,0.0,bottom
LED7,-177.107138,-73.748201,180.0,bottom
LED8_2,-231.49215,-6.3112,0.0,bottom
LED8,-195.15714,-73.7482,180.0,bottom
LED9_2,-213.44215,-6.3112,0.0,bottom
LED9,-213.207139,-73.748199,180.0,bottom
PSW1_2,-209.94734,-32.72661,-45.0,top
PSW1,-216.71349,-47.32186,135.0,top
RSW1_2,-206.11555,-28.913,135.0,top
RSW1,-220.533738,-51.1464,-45.0,top
SW1_2,-249.54215,-1.6112,0.0,top
SW1,-177.107142,-78.448201,180.0,top
SW10_2,-177.34215,-35.7112,0.0,top
SW10,-249.307142,-44.3482,180.0,top
SW2_2,-231.49215,-1.6112,0.0,top
SW2,-195.15714,-78.4482,180.0,top
SW3_2,-213.44215,-1.6112,0.0,top
SW3,-213.20714,-78.4482,180.0,top
SW4_2,-195.39215,-1.6112,0.0,top
SW4,-231.25714,-78.448202,180.0,top
SW5_2,-249.54215,-18.6612,0.0,top
SW5,-177.107141,-61.3982,180.0,top
SW6_2,-231.49215,-18.6612,0.0,top
SW6,-195.15714,-61.3982,180.0,top
SW7_2,-213.44215,-18.6612,0.0,top
SW7,-213.20714,-61.398198,180.0,top
SW8_2,-195.39215,-18.6612,0.0,top
SW8,-231.257138,-61.398199,180.0,top
SW9_2,-195.39215,-35.7112,0.0,top
SW9,-231.25714,-44.3482,180.0,top
U1_2,-176.98815,-11.9522,0.0,top
U1,-249.66114,-68.1072,180.0,top
